TITLE = "示例2 - 细密 4x4x4 网格"
VARIABLES = "X" "Y" "Z" "P" "U" "V" "W"
ZONE N=64 E=27 DATAPACKING=POINT ZONETYPE=FEBRICK
0 0 0 0.95 0 0 0
1 0 0 0.85 0.05 0 0
2 0 0 0.75 0.1 0 0
3 0 0 0.65 0.15 0 0
0 1 0 0.9 0 0.05 0
1 1 0 0.8 0.05 0.05 0
2 1 0 0.7 0.1 0.05 0
3 1 0 0.6 0.15 0.05 0
0 2 0 0.85 0 0.1 0
1 2 0 0.75 0.05 0.1 0
2 2 0 0.65 0.1 0.1 0
3 2 0 0.55 0.15 0.1 0
0 3 0 0.8 0 0.15 0
1 3 0 0.7 0.05 0.15 0
2 3 0 0.6 0.1 0.15 0
3 3 0 0.5 0.15 0.15 0
0 0 1 0.92 0 0 0.05
1 0 1 0.82 0.05 0 0.05
2 0 1 0.72 0.1 0 0.05
3 0 1 0.62 0.15 0 0.05
0 1 1 0.87 0 0.05 0.05
1 1 1 0.77 0.05 0.05 0.05
2 1 1 0.67 0.1 0.05 0.05
3 1 1 0.57 0.15 0.05 0.05
0 2 1 0.82 0 0.1 0.05
1 2 1 0.72 0.05 0.1 0.05
2 2 1 0.62 0.1 0.1 0.05
3 2 1 0.52 0.15 0.1 0.05
0 3 1 0.77 0 0.15 0.05
1 3 1 0.67 0.05 0.15 0.05
2 3 1 0.57 0.1 0.15 0.05
3 3 1 0.47 0.15 0.15 0.05
0 0 2 0.88 0 0 0.1
1 0 2 0.78 0.05 0 0.1
2 0 2 0.68 0.1 0 0.1
3 0 2 0.58 0.15 0 0.1
0 1 2 0.83 0 0.05 0.1
1 1 2 0.73 0.05 0.05 0.1
2 1 2 0.63 0.1 0.05 0.1
3 1 2 0.53 0.15 0.05 0.1
0 2 2 0.78 0 0.1 0.1
1 2 2 0.68 0.05 0.1 0.1
2 2 2 0.58 0.1 0.1 0.1
3 2 2 0.48 0.15 0.1 0.1
0 3 2 0.73 0 0.15 0.1
1 3 2 0.63 0.05 0.15 0.1
2 3 2 0.53 0.1 0.15 0.1
3 3 2 0.43 0.15 0.15 0.1
0 0 3 0.84 0 0 0.15
1 0 3 0.74 0.05 0 0.15
2 0 3 0.64 0.1 0 0.15
3 0 3 0.54 0.15 0 0.15
0 1 3 0.79 0 0.05 0.15
1 1 3 0.69 0.05 0.05 0.15
2 1 3 0.59 0.1 0.05 0.15
3 1 3 0.49 0.15 0.05 0.15
0 2 3 0.74 0 0.1 0.15
1 2 3 0.64 0.05 0.1 0.15
2 2 3 0.54 0.1 0.1 0.15
3 2 3 0.44 0.15 0.1 0.15
0 3 3 0.69 0 0.15 0.15
1 3 3 0.59 0.05 0.15 0.15
2 3 3 0.49 0.1 0.15 0.15
3 3 3 0.39 0.15 0.15 0.15
1 2 6 5 17 18 22 21
2 3 7 6 18 19 23 22
3 4 8 7 19 20 24 23
5 6 10 9 21 22 26 25
6 7 11 10 22 23 27 26
7 8 12 11 23 24 28 27
9 10 14 13 25 26 30 29
10 11 15 14 26 27 31 30
11 12 16 15 27 28 32 31
17 18 22 21 33 34 38 37
18 19 23 22 34 35 39 38
19 20 24 23 35 36 40 39
21 22 26 25 37 38 42 41
22 23 27 26 38 39 43 42
23 24 28 27 39 40 44 43
25 26 30 29 41 42 46 45
26 27 31 30 42 43 47 46
27 28 32 31 43 44 48 47
33 34 38 37 49 50 54 53
34 35 39 38 50 51 55 54
35 36 40 39 51 52 56 55
37 38 42 41 53 54 58 57
38 39 43 42 54 55 59 58
39 40 44 43 55 56 60 59
41 42 46 45 57 58 62 61
42 43 47 46 58 59 63 62
43 44 48 47 59 60 64 63
